Year      Month  Day    Hour  PWV
2010      3      4      0     NaN
2010      3      4      3     NaN
2010      3      4      6     NaN
2010      3      4      9     NaN
2010      3      4     12     NaN
2010      3      4     15     NaN
2010      3      4     18     NaN
2010      3      4     21     NaN
2010      3      5      0     NaN
2010      3      5      3     NaN
2010      3      5      6     NaN
2010      3      5      9     NaN
2010      3      5     12     NaN
2010      3      5     15     NaN
2010      3      5     18     NaN
2010      3      5     21     NaN
2010      3      6      0     NaN
2010      3      6      3     NaN
2010      3      6      6     NaN
2010      3      6      9     NaN
2010      3      6     12     NaN
2010      3      6     15     NaN
2010      3      6     18     NaN
2010      3      6     21     NaN
2010      3      7      0     NaN
2010      3      7      3     NaN
2010      3      7      6     NaN
2010      3      7      9     NaN
2010      3      7     12     NaN
2010      3      7     15     NaN
2010      3      7     18     NaN
2010      3      7     21     NaN
2010      3      8      0     4.203
2010      3      8      3     4.409
2010      3      8      6     2.838
2010      3      8      9     2.298
2010      3      8     12     2.011
2010      3      8     15     2.434
2010      3      8     18     2.793
2010      3      8     21     3.364
2010      3      9      0     4.298
2010      3      9      3     4.387
2010      3      9      6     4.328
2010      3      9      9     3.249
2010      3      9     12     2.948
2010      3      9     15     3.275
2010      3      9     18     3.111
2010      3      9     21     2.708
2010      3     10      0     2.573
2010      3     10      3     1.829
2010      3     10      6     1.903
2010      3     10      9     1.599
2010      3     10     12     2.157
2010      3     10     15     2.725
2010      3     10     18     3.061
2010      3     10     21     NaN
2010      3     11      0     2.437
2010      3     11      3     1.993
2010      3     11      6     1.587
2010      3     11      9     1.523
2010      3     11     12     1.712
2010      3     11     15     1.699
2010      3     11     18     2.132
2010      3     11     21     2.549
2010      3     12      0     2.062
2010      3     12      3     1.740
2010      3     12      6     1.647
2010      3     12      9     1.412
2010      3     12     12     1.184
2010      3     12     15     1.205
2010      3     12     18     1.673
2010      3     12     21     2.175
2010      3     13      0     2.256
2010      3     13      3     NaN
2010      3     13      6     NaN
2010      3     13      9     0.930
2010      3     13     12     0.903
2010      3     13     15     0.806
2010      3     13     18     1.024
2010      3     13     21     1.758
2010      3     14      0     2.288
2010      3     14      3     0.710
2010      3     14      6     0.530
2010      3     14      9     0.452
2010      3     14     12     0.480
2010      3     14     15     0.502
2010      3     14     18     1.141
2010      3     14     21     0.763
2010      3     15      0     0.810
2010      3     15      3     0.701
2010      3     15      6     0.533
2010      3     15      9     0.319
2010      3     15     12     0.300
2010      3     15     15     0.509
2010      3     15     18     0.503
2010      3     15     21     1.331
2010      3     16      0     1.445
2010      3     16      3     0.955
2010      3     16      6     1.288
2010      3     16      9     0.969
2010      3     16     12     1.366
2010      3     16     15     1.637
2010      3     16     18     2.439
2010      3     16     21     2.098
2010      3     17      0     2.119
2010      3     17      3     1.626
2010      3     17      6     1.560
2010      3     17      9     1.464
2010      3     17     12     1.622
2010      3     17     15     1.723
2010      3     17     18     1.970
2010      3     17     21     1.908
2010      3     18      0     1.229
2010      3     18      3     1.007
2010      3     18      6     1.354
2010      3     18      9     1.923
2010      3     18     12     1.928
2010      3     18     15     2.891
2010      3     18     18     3.612
2010      3     18     21     3.188
2010      3     19      0     4.133
2010      3     19      3     5.261
2010      3     19      6     5.250
2010      3     19      9     3.772
2010      3     19     12     4.641
2010      3     19     15     5.034
2010      3     19     18     4.054
2010      3     19     21     2.695
2010      3     20      0     2.198
2010      3     20      3     2.316
2010      3     20      6     2.353
2010      3     20      9     2.541
2010      3     20     12     1.992
2010      3     20     15     2.454
2010      3     20     18     2.680
2010      3     20     21     2.067
2010      3     21      0     1.063
2010      3     21      3     1.038
2010      3     21      6     1.107
2010      3     21      9     0.941
